event_text,day,time_block,slots_needed,role
Need 4 volunteers for filming - Video Appearance on Monday morning.,Monday,Morning,4,Video Appearance
Requesting 2 volunteers for Ushering at the outreach event Monday afternoon.,Monday,Afternoon,2,Ushering
This Saturday morning we need 8 volunteers for Ushering.,Saturday,Morning,8,Ushering
9 volunteers needed for Ushering guests thursday afternoon.,Thursday,Afternoon,9,Ushering
Urgent: need 10 volunteers for Career Guidance saturday morning.,Saturday,Morning,10,Career Guidance
Tuesday afternoon - need 9 volunteers for Campus Tour.,Tuesday,Afternoon,9,Campus Tour
For Thursday morning: need 7 volunteers for Video Appearance.,Thursday,Morning,7,Video Appearance
Need 9 volunteers on Tuesday afternoon for Ushering.,Tuesday,Afternoon,9,Ushering
Looking for 8 members to help with pictures (Photoshoot Appearance) this Tuesday morning.,Tuesday,Morning,8,Photoshoot Appearance
Required: 4 volunteers for Ushering on Saturday morning.,Saturday,Morning,4,Ushering
Need 3 volunteers for promotional materials - Photoshoot Appearance on Friday morning.,Friday,Morning,3,Photoshoot Appearance
7 members needed this monday morning for Program Assistance.,Monday,Morning,7,Program Assistance
7x volunteers for Photoshoot Appearance on Wednesday morning.,Wednesday,Morning,7,Photoshoot Appearance
Looking for 7 members to help with organizing (Event Setup) this Wednesday afternoon.,Wednesday,Afternoon,7,Event Setup
Seeking 3 volunteers for Ushering thursday morning.,Thursday,Morning,3,Ushering
Looking for 8 members to help with program (Program Assistance) this Tuesday morning.,Tuesday,Morning,8,Program Assistance
Looking for 9 members to help with activity (Program Assistance) this Saturday morning.,Saturday,Morning,9,Program Assistance
Event Setup: need 6 volunteers Tuesday afternoon.,Tuesday,Afternoon,6,Event Setup
We need 1 representatives for Photoshoot Appearance on Saturday morning.,Saturday,Morning,1,Photoshoot Appearance
Looking for 1 members this Wednesday afternoon for Photoshoot Appearance.,Wednesday,Afternoon,1,Photoshoot Appearance
Need 6 ppl Saturday morning for Photoshoot Appearance.,Saturday,Morning,6,Photoshoot Appearance
Video Appearance on saturday afternoon - need 5 volunteers.,Saturday,Afternoon,5,Video Appearance
Need 5 volunteers for promo video - Video Appearance on thursday afternoon.,Thursday,Afternoon,5,Video Appearance
Can 3 volunteers help with Video Appearance on Wednesday afternoon?,Wednesday,Afternoon,3,Video Appearance
Schedule 1 members for Campus Tour this Saturday morning.,Saturday,Morning,1,Campus Tour
4 volunteers needed for Event Setup organizing Friday afternoon.,Friday,Afternoon,4,Event Setup
10 volunteers needed for Program Assistance Saturday morning.,Saturday,Morning,10,Program Assistance
4 volunteers needed for Campus Tour showing campus Friday afternoon.,Friday,Afternoon,4,Campus Tour
6 volunteers needed for Video Appearance Saturday morning.,Saturday,Morning,6,Video Appearance
Looking for 6 members to assist in Photoshoot Appearance this Monday afternoon.,Monday,Afternoon,6,Photoshoot Appearance
1 ppl needed for Career Guidance Thursday afternoon.,Thursday,Afternoon,1,Career Guidance
Need 2 volunteers for video - Video Appearance on Saturday morning.,Saturday,Morning,2,Video Appearance
We require 4 volunteers for Career Guidance this Saturday afternoon.,Saturday,Afternoon,4,Career Guidance
Need 6 volunteers for pictures - Photoshoot Appearance on thursday afternoon.,Thursday,Afternoon,6,Photoshoot Appearance
"For the SHS event tuesday afternoon, need 8 volunteers for Career Guidance.",Tuesday,Afternoon,8,Career Guidance
Upcoming Thursday morning - need 5 volunteers for Event Setup.,Thursday,Morning,5,Event Setup
Looking for 9 members to help with video (Video Appearance) this Tuesday morning.,Tuesday,Morning,9,Video Appearance
9 volunteers needed for Photoshoot Appearance promotional materials Saturday afternoon.,Saturday,Afternoon,9,Photoshoot Appearance
Please schedule 5 members for Photoshoot Appearance on Tuesday afternoon.,Tuesday,Afternoon,5,Photoshoot Appearance
Schedule 2 members for Event Setup this Friday morning.,Friday,Morning,2,Event Setup
Seeking 8 volunteers for Photoshoot Appearance Thursday afternoon.,Thursday,Afternoon,8,Photoshoot Appearance
We're looking for 7 volunteers to assist with Event Setup this Monday afternoon.,Monday,Afternoon,7,Event Setup
I need 6 volunteers to handle Video Appearance on tuesday afternoon.,Tuesday,Afternoon,6,Video Appearance
Need 1 volunteers on saturday afternoon for SHS Career Guidance.,Saturday,Afternoon,1,Career Guidance
8 volunteers needed for Video Appearance promo video Monday morning.,Monday,Morning,8,Video Appearance
I need 4 volunteers to handle Program Assistance on Friday morning.,Friday,Morning,4,Program Assistance
Looking for 4 members this Tuesday afternoon for Video Appearance.,Tuesday,Afternoon,4,Video Appearance
Need 6 volunteers for facility tour - Campus Tour on Tuesday afternoon.,Tuesday,Afternoon,6,Campus Tour
We're gonna need 7 people for Photoshoot Appearance this tuesday morning.,Tuesday,Morning,7,Photoshoot Appearance
Wednesday morning Career Guidance - 10 volunteers needed.,Wednesday,Morning,10,Career Guidance
Photoshoot Appearance: need 1 volunteers Friday afternoon.,Friday,Afternoon,1,Photoshoot Appearance
For tuesday afternoon: need 10 volunteers for Video Appearance.,Tuesday,Afternoon,10,Video Appearance
Assign 4 students Saturday afternoon for Program Assistance.,Saturday,Afternoon,4,Program Assistance
2 volunteers needed for Career Guidance advising saturday afternoon.,Saturday,Afternoon,2,Career Guidance
Looking for 6 members to assist in Photoshoot Appearance this Monday afternoon.,Monday,Afternoon,6,Photoshoot Appearance
ASAP: 1 volunteers needed for Photoshoot Appearance on Saturday morning.,Saturday,Morning,1,Photoshoot Appearance
I need 2 volunteers to handle Program Assistance on Wednesday afternoon.,Wednesday,Afternoon,2,Program Assistance
Upcoming Tuesday morning - need 1 volunteers for Campus Tour.,Tuesday,Morning,1,Campus Tour
Urgent: need 4 volunteers for Photoshoot Appearance Thursday morning.,Thursday,Morning,4,Photoshoot Appearance
8x volunteers for Photoshoot Appearance on Friday afternoon.,Friday,Afternoon,8,Photoshoot Appearance
Who can do Program Assistance on Monday morning? Need 9 people.,Monday,Morning,9,Program Assistance
Looking for 4 members to help with counseling (Career Guidance) this saturday morning.,Saturday,Morning,4,Career Guidance
Need 5 volunteers on Wednesday afternoon for Video Appearance.,Wednesday,Afternoon,5,Video Appearance
Required: 9 volunteers for Event Setup on Thursday afternoon.,Thursday,Afternoon,9,Event Setup
Campus Tour on Thursday morning - need 10 volunteers.,Thursday,Morning,10,Campus Tour
We need 7 students for Career Guidance during the SHS program Wednesday morning.,Wednesday,Morning,7,Career Guidance
Required: 8 volunteers for Video Appearance on Friday morning.,Friday,Morning,8,Video Appearance
For Saturday morning: need 4 volunteers for Program Assistance.,Saturday,Morning,4,Program Assistance
6 members needed this Wednesday morning for Campus Tour.,Wednesday,Morning,6,Campus Tour
Who can do Campus Tour on Monday afternoon? Need 10 people.,Monday,Afternoon,10,Campus Tour
Need 6 members Saturday afternoon for Video Appearance.,Saturday,Afternoon,6,Video Appearance
Schedule 9 members for Ushering this Friday morning.,Friday,Morning,9,Ushering
Assignment needed: 10 volunteers for Campus Tour this saturday afternoon.,Saturday,Afternoon,10,Campus Tour
Need 5 ppl Saturday morning for Program Assistance.,Saturday,Morning,5,Program Assistance
We need 1 students for Ushering during the SHS program Tuesday morning.,Tuesday,Morning,1,Ushering
Requesting 7 volunteers for Career Guidance at the outreach event Wednesday afternoon.,Wednesday,Afternoon,7,Career Guidance
Need 8 ppl Saturday afternoon for Career Guidance.,Saturday,Afternoon,8,Career Guidance
Staffing requirement: 6 volunteers for Video Appearance Tuesday morning.,Tuesday,Morning,6,Video Appearance
Assign 3 students Monday morning for Video Appearance.,Monday,Morning,3,Video Appearance
Need 7 volunteers on Friday morning for SHS Event Setup.,Friday,Morning,7,Event Setup
Thursday afternoon - need 5 volunteers for Photoshoot Appearance.,Thursday,Afternoon,5,Photoshoot Appearance
Assign 8 students Tuesday morning for Career Guidance.,Tuesday,Morning,8,Career Guidance
9 volunteers please for Photoshoot Appearance this Friday afternoon.,Friday,Afternoon,9,Photoshoot Appearance
Need 8 members Friday morning for Video Appearance.,Friday,Morning,8,Video Appearance
We're looking for 7 volunteers to assist with Ushering this Tuesday morning.,Tuesday,Morning,7,Ushering
Looking for 3 members to assist in Program Assistance this Thursday morning.,Thursday,Morning,3,Program Assistance
We require 9 volunteers for Program Assistance this saturday afternoon.,Saturday,Afternoon,9,Program Assistance
Assign 9 students Saturday morning for Event Setup.,Saturday,Morning,9,Event Setup
1 volunteers needed for Program Assistance event Saturday afternoon.,Saturday,Afternoon,1,Program Assistance
Need 8 volunteers for campus walkthrough - Campus Tour on Tuesday morning.,Tuesday,Morning,8,Campus Tour
We're looking for 3 volunteers to assist with Career Guidance this Wednesday afternoon.,Wednesday,Afternoon,3,Career Guidance
We need 5 people to handle Event Setup on Wednesday morning.,Wednesday,Morning,5,Event Setup
Requesting 9 volunteers Wednesday afternoon for Campus Tour.,Wednesday,Afternoon,9,Campus Tour
Anyone free Monday morning? Need 3 people for Event Setup.,Monday,Morning,3,Event Setup
"For Event Setup, we need 3 volunteers on Saturday morning.",Saturday,Morning,3,Event Setup
We're looking for 8 volunteers to assist with Event Setup this Saturday afternoon.,Saturday,Afternoon,8,Event Setup
Need 1 volunteers to help with Program Assistance on monday afternoon.,Monday,Afternoon,1,Program Assistance
We need 7 representatives for Video Appearance on Saturday morning.,Saturday,Morning,7,Video Appearance
"For the SHS event Friday afternoon, need 6 volunteers for Ushering.",Friday,Afternoon,6,Ushering
This Friday morning we need 3 volunteers for Ushering.,Friday,Morning,3,Ushering
This Friday morning we need 7 volunteers for Video Appearance.,Friday,Morning,7,Video Appearance
For Saturday morning: need 8 volunteers for Photoshoot Appearance.,Saturday,Morning,8,Photoshoot Appearance
Anyone free tuesday morning? Need 9 people for Program Assistance.,Tuesday,Morning,9,Program Assistance
Staffing requirement: 4 volunteers for Photoshoot Appearance Friday afternoon.,Friday,Afternoon,4,Photoshoot Appearance
Need 7 ppl Wednesday morning for Video Appearance.,Wednesday,Morning,7,Video Appearance
Need 1 members Tuesday morning for Career Guidance.,Tuesday,Morning,1,Career Guidance
Can you assign 10 volunteers for Ushering Friday afternoon?,Friday,Afternoon,10,Ushering
We're gonna need 1 people for Photoshoot Appearance this wednesday morning.,Wednesday,Morning,1,Photoshoot Appearance
Need 9 volunteers on Monday morning for Photoshoot Appearance.,Monday,Morning,9,Photoshoot Appearance
Need 1 volunteers for promotional materials - Photoshoot Appearance on Thursday afternoon.,Thursday,Afternoon,1,Photoshoot Appearance
For Friday afternoon: need 9 volunteers for Ushering.,Friday,Afternoon,9,Ushering
Looking for 8 members to help with photos (Photoshoot Appearance) this Saturday morning.,Saturday,Morning,8,Photoshoot Appearance
We need 2 students for Program Assistance during the SHS program Wednesday afternoon.,Wednesday,Afternoon,2,Program Assistance
Can 2 volunteers help with Career Guidance on Monday morning?,Monday,Morning,2,Career Guidance
Anyone free Thursday afternoon? Need 3 people for Campus Tour.,Thursday,Afternoon,3,Campus Tour
We need 10 representatives for Program Assistance on Wednesday morning.,Wednesday,Morning,10,Program Assistance
Can 6 volunteers help with Career Guidance on Friday afternoon?,Friday,Afternoon,6,Career Guidance
Need 8 volunteers to help with Career Guidance on Friday afternoon.,Friday,Afternoon,8,Career Guidance
Need 5 volunteers for pictures - Photoshoot Appearance on Thursday morning.,Thursday,Morning,5,Photoshoot Appearance
Need 10 volunteers on Thursday afternoon for Program Assistance.,Thursday,Afternoon,10,Program Assistance
Who's available Monday afternoon for Ushering? Need 8 volunteers.,Monday,Afternoon,8,Ushering
"For the SHS event Friday afternoon, need 4 volunteers for Career Guidance.",Friday,Afternoon,4,Career Guidance
Need 2 members Thursday morning for Campus Tour.,Thursday,Morning,2,Campus Tour
Urgent: need 1 volunteers for Ushering Monday morning.,Monday,Morning,1,Ushering
Can you assign 4 volunteers for Program Assistance Friday afternoon?,Friday,Afternoon,4,Program Assistance
"For the SHS event Wednesday morning, need 4 volunteers for Career Guidance.",Wednesday,Morning,4,Career Guidance
We're looking for 1 volunteers to assist with Event Setup this Friday afternoon.,Friday,Afternoon,1,Event Setup
Please schedule 3 members for Career Guidance on Tuesday morning.,Tuesday,Morning,3,Career Guidance
This Thursday morning we need 10 volunteers for Photoshoot Appearance.,Thursday,Morning,10,Photoshoot Appearance
9x volunteers for Career Guidance on Saturday morning.,Saturday,Morning,9,Career Guidance
Need 6 volunteers on Saturday morning for Event Setup.,Saturday,Morning,6,Event Setup
Looking for 7 members to assist in Career Guidance this Thursday morning.,Thursday,Morning,7,Career Guidance
1 volunteers needed for Event Setup organizing Saturday afternoon.,Saturday,Afternoon,1,Event Setup
Who can do Video Appearance on monday morning? Need 9 people.,Monday,Morning,9,Video Appearance
9 volunteers needed for Event Setup organizing Monday afternoon.,Monday,Afternoon,9,Event Setup
Can you assign 8 volunteers for Event Setup Wednesday afternoon?,Wednesday,Afternoon,8,Event Setup
Requesting 8 volunteers to support Career Guidance friday morning.,Friday,Morning,8,Career Guidance
4 ppl needed for Ushering Wednesday afternoon.,Wednesday,Afternoon,4,Ushering
Searching for 7 members to help with Program Assistance on Wednesday afternoon.,Wednesday,Afternoon,7,Program Assistance
Looking for 3 volunteers this Wednesday afternoon for Ushering.,Wednesday,Afternoon,3,Ushering
Need 3 volunteers for recording - Video Appearance on Wednesday afternoon.,Wednesday,Afternoon,3,Video Appearance
Need 10 volunteers for activity - Program Assistance on Saturday afternoon.,Saturday,Afternoon,10,Program Assistance
Schedule 6 members for Program Assistance this Thursday afternoon.,Thursday,Afternoon,6,Program Assistance
We need 7 students for Event Setup during the SHS program Monday morning.,Monday,Morning,7,Event Setup
Need 3 volunteers for promo video - Video Appearance on Saturday morning.,Saturday,Morning,3,Video Appearance
Can you assign 4 volunteers for Career Guidance tuesday morning?,Tuesday,Morning,4,Career Guidance
Looking for 6 members to help with attendees (Ushering) this Wednesday morning.,Wednesday,Morning,6,Ushering
Assignment needed: 9 volunteers for Event Setup this Friday afternoon.,Friday,Afternoon,9,Event Setup
Urgent: need 9 volunteers for Career Guidance Saturday morning.,Saturday,Morning,9,Career Guidance
Assignment needed: 10 volunteers for Ushering this Thursday afternoon.,Thursday,Afternoon,10,Ushering
Looking for 4 members to help with Campus Tour during SHS visit Wednesday morning.,Wednesday,Morning,4,Campus Tour
Who's available Thursday afternoon for Program Assistance? Need 5 volunteers.,Thursday,Afternoon,5,Program Assistance
Need 2 volunteers for promotional materials - Photoshoot Appearance on Thursday afternoon.,Thursday,Afternoon,2,Photoshoot Appearance
Looking for 4 members to help with tour (Campus Tour) this Friday morning.,Friday,Morning,4,Campus Tour
Staffing requirement: 9 volunteers for Video Appearance Tuesday morning.,Tuesday,Morning,9,Video Appearance
This Friday morning we need 10 volunteers for Video Appearance.,Friday,Morning,10,Video Appearance
ASAP: 8 volunteers needed for Event Setup on Tuesday morning.,Tuesday,Morning,8,Event Setup
Event Setup on Thursday afternoon - need 1 volunteers.,Thursday,Afternoon,1,Event Setup
2 volunteers needed for Ushering attendees monday afternoon.,Monday,Afternoon,2,Ushering
9 volunteers needed for Event Setup setup Monday afternoon.,Monday,Afternoon,9,Event Setup
Assign 4 volunteers Saturday afternoon for Ushering.,Saturday,Afternoon,4,Ushering
Looking for 10 members to help with video (Video Appearance) this Saturday morning.,Saturday,Morning,10,Video Appearance
Looking for 5 members to help with Video Appearance during SHS visit monday morning.,Monday,Morning,5,Video Appearance
Requesting 2 volunteers to support Program Assistance Friday morning.,Friday,Morning,2,Program Assistance
Seeking 1 volunteers for Video Appearance Thursday morning.,Thursday,Morning,1,Video Appearance
Assign 5 students Monday morning for Campus Tour.,Monday,Morning,5,Campus Tour
Need 7 volunteers on Saturday afternoon for SHS Program Assistance.,Saturday,Afternoon,7,Program Assistance
For Monday morning: need 10 volunteers for Career Guidance.,Monday,Morning,10,Career Guidance
